,bedrooms_total,baths_total,acres,sq_ft_tot_fn,tax_gross_amount,assessment_value_town,garage_capacity,year_built,total_stories,rooms_total,garage,flood_zone,basement,price_closed,city__Pomfret,city__Woodstock,covenants__Unknown,covenants__Yes,garage_type,short_sale,basement_access_type,current_use
54,3.0,3.0,10.43,2848.0,12301.0,637600.0,3.0,2007.0,1.5,9.0,1.0,0.0,0.0,922800.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2566207472352333,0.0
55,2.0,2.0,5.39,1854.0,7955.0,412300.0,0.0,2007.0,2.0,6.0,0.0,0.0,0.0,470000.0,0.0,1.0,0.0,1.0,0.4275601834557277,1.0,0.8705236629645272,0.0
56,4.0,3.0,20.69,4309.0,12317.0,676550.0,2.0,1780.0,1.5,9.0,1.0,1.0,1.0,520309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055484659811088105
57,5.0,2.0,0.0,2344.0,7243.0,375400.0,0.0,1900.0,2.0,8.0,0.0,1.0,1.0,432000.0,0.0,1.0,0.0,0.0,0.7762495644110008,1.0,2.0,0.0
58,4.0,5.0,2.61,4050.0,16923.0,728609.6899224806,2.0,1872.0,1.5,8.0,1.0,0.0,1.0,750000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9515718815451544,0.0
59,4.0,3.0,5.0,3140.0,11543.0,598300.0,2.0,1985.0,2.5,11.0,1.0,0.0,1.0,459000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,3.0,3.0,2.3,1807.0,12614.0,660890.0,0.0,1981.0,2.0,6.0,0.0,1.0,1.0,700000.0,0.0,0.0,0.0,0.0,0.04783342657356638,1.0,1.0,0.0
61,4.0,3.0,0.39,2734.0,8080.0,418800.0,2.0,1870.0,1.5,8.0,1.0,0.0,1.0,410000.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
62,3.0,2.0,2.5,2960.0,7643.0,373690.0,2.0,1850.0,2.0,7.0,1.0,0.0,1.0,315000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,3.0,3.0,0.13,2184.0,5448.0,282400.0,0.0,1870.0,1.5,7.0,0.0,0.0,1.0,320000.0,0.0,1.0,0.0,0.0,0.9899207287126105,0.0,0.0,0.0
64,3.0,2.0,0.55,2200.0,7259.0,347200.0,2.0,1910.0,1.5,8.0,1.0,0.0,1.0,439000.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
65,3.0,2.0,4.65,2100.0,13268.992366412214,393470.0,2.0,1850.0,1.5,7.0,1.0,0.0,1.0,300000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
66,3.0,4.0,0.86,2866.0,9062.0,481300.0,2.0,1991.0,1.5,9.0,1.0,0.0,1.0,375000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
67,3.0,2.0,0.18,2164.0,7542.0,390900.0,2.0,2003.0,1.5,7.0,1.0,0.0,1.0,375000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9675891535919822
68,1.0,1.0,76.61,1118.0,10137.0,525400.0,2.0,1850.0,1.5,6.0,1.0,0.0,1.0,515000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
69,4.0,4.0,65.0,5904.0,29997.0,1647620.0,2.0,2008.0,2.5,11.0,1.0,0.0,1.0,1725000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
70,4.0,3.0,0.23,2560.0,9022.0,431500.0,0.0,1823.0,1.5,10.0,0.0,0.0,1.0,332500.0,0.0,1.0,0.0,0.0,0.2575248976316319,0.0,0.0,0.05084653912992149
71,4.0,2.0,38.0,2680.0,30855.0,1694780.0,0.0,1989.0,2.5,8.0,0.0,0.0,1.0,1041900.0,1.0,0.0,0.0,0.0,0.2735830098818885,0.0,1.0,1.0
72,3.0,3.0,11.0,1912.0,9211.0,462760.0,2.0,1973.0,1.75,6.0,1.0,0.0,1.0,485000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,2.0,3.0,1.09,1336.0,5844.0,226200.0,0.0,2003.0,2.0,6.0,0.0,0.0,0.0,385000.0,0.0,1.0,0.0,0.0,0.27406178665117814,1.0,0.8819867362062999,0.0
74,4.0,2.0,14.23,2334.0,11927.0,655090.0,0.0,2005.0,2.0,9.0,0.0,1.0,1.0,485000.0,1.0,0.0,0.0,0.0,0.49113958417025744,0.0,0.0,0.14823019482571553
